"ID","Age","Income","Education","City","Department","Score","Years_Experience","Satisfaction","Salary_Bonus","Performance_Rating"
90,46,58206.55,"Bachelor","New York","HR",65.2,22,2,5385.57,"Good"
91,33,46327.16,"High School","Chicago","Finance",69.3,26,3,NA,"Good"
92,54,85748.25,"Bachelor","New York","Sales",76.3,1,3,7616.19,"Good"
93,45,11595.07,"High School","New York","Finance",65.3,18,9,4265.97,"Good"
94,73,75540.09,"High School","Houston","Engineering",44.8,1,3,6653.91,"Good"
95,63,50030.34,"Bachelor","New York","Finance",81.7,3,3,898.82,"Excellent"
96,22,63446.41,"Master","Phoenix","Sales",82.9,24,8,6083.43,"Poor"
97,45,74753.07,"Bachelor","New York","HR",71.3,23,1,5725.98,"Good"
98,71,71711.36,"Bachelor","Phoenix","HR",66.8,19,6,1816.84,"Excellent"
99,19,41789.56,"Bachelor","Los Angeles","Marketing",62.9,20,7,5345.66,"Good"
100,35,86281.39,"Bachelor","Phoenix","Finance",104.3,7,3,2454.07,"Good"
101,41,22540.48,"High School","Phoenix","HR",NA,12,7,3264.21,"Fair"
102,66,72277.93,"Master","Houston","Engineering",74.5,20,1,6252.64,"Poor"
103,35,44767.94,"High School","Chicago","Engineering",76.6,2,8,4788.74,"Good"
104,22,16652.7,"PhD","Houston","HR",71.5,1,8,4487.36,"Poor"
105,63,17683.72,"Bachelor","New York","Engineering",110.9,14,7,3562.54,"Good"
106,57,59903.58,"High School","New York","HR",74.8,22,4,959.73,"Excellent"
107,72,99470.69,"Master","New York","Finance",58.7,11,5,5779.23,"Excellent"
108,57,60467.52,"Bachelor","New York","Sales",79.7,6,7,216.02,"Poor"
109,38,77615.7,"Master","Los Angeles","Finance",91.4,17,8,7125.13,"Poor"
110,53,71773.39,"High School","Phoenix","Sales",59.7,20,7,5337.35,"Good"
111,74,41907.69,"High School","Chicago","Marketing",100.1,25,1,5195.5,"Good"
112,53,74079.22,"Master","Los Angeles","Sales",79.1,7,7,4051.54,"Poor"
113,56,62059.03,"High School","Los Angeles","HR",72.3,16,6,732.75,"Excellent"
114,59,59131.99,"Bachelor","New York","Sales",88,14,5,5961.8,"Good"
115,35,75022.26,"PhD","Los Angeles","HR",54,23,2,5612.57,"Good"
116,44,NA,"Bachelor","Los Angeles","Marketing",97.2,1,10,4217.71,"Excellent"
117,30,42468.5,"High School","Houston","HR",66.1,16,3,5554.89,"Fair"
118,70,62904.47,"Master","Phoenix","Marketing",61.7,26,9,6617.68,"Excellent"
119,71,37156.64,"Master","Los Angeles","Marketing",67.1,22,6,5950.32,"Good"
120,36,67616.37,"PhD","Phoenix","Engineering",75.5,28,4,6308.59,"Good"
121,49,46345.9,"High School","Houston","Finance",60.8,0,7,5980.14,"Good"
122,33,64042.77,"Bachelor","Los Angeles","Engineering",37.5,11,8,3753.8,"Excellent"
123,71,62359.98,"PhD","Chicago","Engineering",77.2,9,4,8871.91,"Poor"
124,77,49592.25,"Bachelor","Chicago","Marketing",87.9,20,3,6117.54,"Good"
125,46,64310.25,"High School","Houston","Engineering",71.9,7,10,5755.28,"Excellent"
126,34,66487.12,"High School","Chicago","HR",81,26,5,4337.07,"Fair"
127,61,50386,"Master","Houston","Marketing",86.4,7,2,1577.26,"Excellent"
128,26,78444.85,"High School","Los Angeles","Sales",60.5,26,7,4520.66,"Fair"
129,74,82854.05,"Bachelor","Los Angeles","Sales",100.6,6,3,4055.11,"Good"
130,38,41760.17,"High School","Phoenix","HR",62.8,19,10,968.12,"Fair"
131,79,39452.62,"Bachelor","New York","Marketing",75.8,14,1,6586.23,"Good"
132,60,65270.77,"Bachelor","Phoenix","HR",102.3,20,7,4855.51,"Good"
133,74,36733.76,"Master","New York","Sales",78.5,11,2,7735.58,"Good"
134,75,46011.52,"Master","Chicago","Engineering",74.6,3,3,4709.17,"Excellent"
135,65,71058.65,"PhD","Phoenix","Marketing",58,17,4,8020.04,"Excellent"
136,25,NA,"Master","Chicago","Marketing",57.6,13,2,2680.06,"Fair"
137,46,16437.5,"Bachelor","Chicago","Sales",66.8,20,3,2809.04,"Excellent"
138,72,68287.82,"High School","Houston","Sales",68.5,7,6,4350.72,"Excellent"
139,55,22949.2,"PhD","Los Angeles","Engineering",99.9,20,1,7216.83,"Good"
140,18,27907.99,"High School","Houston","Engineering",66.6,14,6,1996.76,"Good"
141,30,-5358.65,"High School","Chicago","Engineering",57.8,12,1,8530.84,"Excellent"
142,31,71624.76,"Bachelor","Los Angeles","HR",85.6,17,9,6141.31,"Fair"
143,22,60021.94,"Master","Phoenix","Engineering",77.4,16,3,6127.98,"Excellent"
144,26,64245.87,"High School","Houston","Sales",76.7,21,8,3368.17,"Good"
145,72,71895.84,"Bachelor","Phoenix","Sales",97.4,16,7,5343.42,"Good"
146,33,54160.57,"Master","Chicago","Finance",90.3,7,7,3554.29,"Fair"
147,43,32888.48,"High School","Phoenix","Finance",92.6,10,9,4615.08,"Good"
148,60,66275.51,"Bachelor","New York","Marketing",71.3,6,9,4355.99,"Fair"
149,59,81067.3,"Bachelor","New York","Marketing",72.5,5,7,6704.43,"Good"
150,59,24995.58,"High School","Chicago","Sales",73.7,26,10,4211.29,"Good"
151,73,42860.22,"Bachelor","Los Angeles","Finance",62.6,25,7,3757.66,"Good"
152,50,49155.1,"Bachelor","Los Angeles","Marketing",57.2,2,10,4971.17,"Good"
153,76,29206.33,"Master","New York","Sales",80.9,26,3,6208.48,"Good"
154,74,68882.12,"Master","New York","Finance",72.3,0,2,6695.82,"Good"
155,46,43016.36,"PhD","Houston","Engineering",75,28,10,6297.45,"Fair"
156,42,80138.13,"Bachelor","Houston","Sales",92.7,30,4,7608.16,"Good"
157,68,56070.16,"Bachelor","Phoenix","Engineering",64.7,25,6,6632.15,"Poor"
158,80,69561.85,"Bachelor","Houston","Engineering",104.5,5,7,1640.76,"Good"
159,49,86221.96,"Bachelor","Chicago","HR",68.4,18,10,7845.94,"Fair"
160,34,60312.5,"Bachelor","Houston","Marketing",86.7,18,1,6965.75,"Excellent"
161,63,76534.53,"Bachelor","New York","HR",58,13,7,3971.46,"Excellent"
162,31,59213.96,"High School","Chicago","HR",79.1,1,9,7669.32,"Good"
163,64,24766.53,"Bachelor","Houston","Marketing",63.5,28,5,1793.44,"Good"
164,23,NA,"Bachelor","Chicago","Finance",63.9,11,1,5062.69,"Fair"
165,73,69362.72,"Master","Houston","Finance",56.2,8,3,8349.85,"Good"
166,64,64789.14,"Bachelor","New York","Sales",74.7,21,5,6293.55,"Good"
167,60,51522.23,"Master","Houston","Marketing",86.4,29,6,6033.74,"Fair"
168,79,30646.01,"Bachelor","Phoenix","Sales",72.4,13,10,1195.79,"Poor"
169,54,67927.97,"High School","New York","Finance",71,13,3,2462.49,"Good"
170,33,36670.88,"PhD","Phoenix","Finance",68.6,6,9,3260.46,"Good"
171,66,29963.53,"Master","Chicago","Sales",85.3,3,1,3858.73,"Fair"
172,71,66898.55,"Master","Houston","Finance",90.8,4,9,8305.67,"Excellent"
173,66,30343.79,"Bachelor","Chicago","Finance",42.1,16,7,4718.18,"Good"
174,67,59887.29,"High School","Los Angeles","Sales",67.5,25,1,3646.89,"Poor"
175,48,55055.44,"High School","Los Angeles","Marketing",88.2,18,10,4731.28,"Good"
176,51,28435.81,"Bachelor","New York","Sales",98.2,12,7,7513.94,"Good"
177,47,78593.93,"Master","Houston","Marketing",83.7,22,1,5773.31,"Good"
178,49,43143.9,"Bachelor","Chicago","HR",73,17,2,4267.67,"Good"
179,23,78999.57,"Bachelor","Phoenix","Sales",84.1,9,2,600.32,"Good"
180,39,45499.33,"Bachelor","Houston","HR",78.3,6,3,6414.47,"Excellent"
181,55,43498.86,"Bachelor","Los Angeles","Engineering",82.9,1,10,4294.43,"Good"
182,48,54375.48,"High School","Houston","Engineering",81.9,9,9,5497.53,"Good"
183,23,47838.86,"Bachelor","Los Angeles","Sales",97.6,13,2,4729.18,"Excellent"
184,37,47867.98,"Bachelor","Houston","HR",80.3,7,9,4554.7,"Good"
185,77,37446.71,"PhD","Houston","Finance",69,3,1,5899.57,"Fair"
186,32,30742.06,"Bachelor","Houston","Sales",90.4,3,6,5488.04,"Fair"
187,51,67265.73,"Bachelor","Los Angeles","Sales",63,3,8,5031.29,"Fair"
188,59,38875.93,"Master","New York","Finance",70.5,16,8,8565.86,"Excellent"
189,40,27470.86,"High School","Chicago","Engineering",39,30,8,3043.56,"Good"
190,77,44843.04,"Bachelor","Chicago","Marketing",77.9,2,1,5994,"Good"
191,79,38981.29,"PhD","Phoenix","Engineering",84.5,25,6,5731.48,"Fair"
192,29,11144.29,"Bachelor","Chicago","Finance",49.2,25,3,3664.28,"Poor"
193,43,49181.26,"Master","New York","Engineering",113.1,23,6,1712.71,"Fair"
194,58,58343.48,"Bachelor","Los Angeles","HR",61,0,6,5852.24,"Good"
195,18,60893.85,"High School","New York","Sales",55.6,16,8,6325,"Good"
196,19,62854.83,"Bachelor","Chicago","Marketing",70.1,18,9,6448.72,"Fair"
197,73,34983.13,"Master","Houston","Marketing",79.5,11,6,5475.65,"Poor"
198,41,48485.46,"Master","Chicago","Marketing",68.4,4,5,5737.66,"Good"
199,51,34833.02,"PhD","Houston","Marketing",82.5,11,2,4929.41,"Excellent"
200,42,42291.37,"Bachelor","Chicago","Marketing",61.6,14,10,4407.65,"Good"
201,45,30803.19,"High School","Chicago","Finance",86,28,6,6477.01,"Excellent"
202,60,32670.72,"High School","Chicago","Engineering",76.9,2,8,5856.47,"Good"
203,78,67597.62,"Bachelor","Los Angeles","Marketing",103.3,3,2,9051.14,"Good"
204,79,49549.57,"Bachelor","Los Angeles","Sales",80.7,15,4,4493.88,"Good"
205,31,49823.18,"PhD","Los Angeles","Finance",74.3,3,8,2495.85,"Excellent"
206,51,89591.16,"PhD","Los Angeles","Engineering",77,5,3,4048.72,"Fair"
207,77,53832.16,"PhD","Chicago","Finance",83.3,3,2,5579.36,"Good"
208,19,44258.72,"Master","Houston","Sales",62.9,30,2,6493.15,"Fair"
209,48,69945.73,"Bachelor","Chicago","Finance",59.9,17,2,5209,"Good"
210,49,45254.84,"Bachelor","Chicago","Finance",87.9,10,5,5814.21,"Excellent"
211,44,82458.16,"Master","Houston","Engineering",76.3,20,5,5602.96,"Good"
212,27,47446.55,"Master","Los Angeles","Sales",52.8,13,10,6744.08,"Poor"
213,74,42676.95,"High School","Chicago","HR",60.5,4,1,8802.4,"Good"
214,45,31637.5,"Bachelor","Chicago","Marketing",76.6,27,8,7402.07,"Fair"
215,71,61572.81,"Master","Phoenix","Sales",92.7,6,2,5997.32,"Good"
216,54,84330.21,"Bachelor","Houston","Marketing",77.9,0,8,5655.97,"Good"
217,27,47879.81,"Master","New York","Sales",74.9,16,5,2926.26,"Good"
218,66,60229.35,"Master","Phoenix","Marketing",68.1,1,2,6256.14,"Poor"
219,66,61666.58,"High School","Los Angeles","Marketing",64.1,12,9,2222.01,"Excellent"
220,22,83443.86,"High School","Phoenix","HR",65.4,14,1,4006.31,"Poor"
221,52,68277.53,"High School","Los Angeles","Engineering",81.7,1,7,9129.25,"Fair"
222,31,33526.9,"Bachelor","Houston","Engineering",66.2,15,4,3997.81,"Excellent"
223,31,41061.96,"Bachelor","New York","Marketing",77.8,24,2,6041.85,"Fair"
224,45,40077.39,"High School","Los Angeles","Finance",70.5,10,3,6087.79,"Good"
225,75,57831.46,"Bachelor","Phoenix","Sales",77.4,18,5,4086.16,"Fair"
226,50,54921.06,"Bachelor","Phoenix","Engineering",90.3,19,9,3737.26,"Good"
227,54,62358.75,"Master","Phoenix","Sales",87,10,4,6777.07,"Fair"
228,52,41853.14,"Bachelor","Houston","HR",74.3,19,4,8709.96,"Excellent"
229,71,47473.07,"High School","Los Angeles","Finance",60.1,23,9,NA,"Fair"
230,43,69827.2,"Master","Los Angeles","Finance",83.6,30,3,NA,"Good"
231,80,53007.86,"High School","Los Angeles","Finance",77,19,7,4995.06,"Good"
232,48,41914.2,"Bachelor","Phoenix","Finance",59.8,16,6,626.91,"Fair"
233,62,74423.29,"Bachelor","Houston","Engineering",90.1,16,5,3531.53,"Poor"
234,60,55269.93,"Bachelor","Los Angeles","HR",88.1,7,10,7305.75,"Fair"
235,69,36669.31,"Bachelor","Houston","Sales",64.6,20,3,2084.59,"Good"
236,75,89193.77,"Bachelor","Los Angeles","Sales",115.2,27,8,5158.27,"Poor"
237,49,31637.98,"High School","New York","Engineering",27.9,16,8,9191.95,"Poor"
238,34,19379.27,"High School","Chicago","HR",84.7,24,3,2805.98,"Excellent"
239,76,9937.35,"Bachelor","Chicago","Engineering",67.8,30,1,3757.69,"Good"
240,44,68022.52,"High School","Los Angeles","Finance",77.9,27,4,4731.04,"Fair"
241,47,44343.35,"High School","Houston","Sales",59.3,6,1,7252.97,"Good"
242,69,49488.81,"Master","Phoenix","HR",71.3,20,5,4014.34,"Poor"
243,53,60792.54,"High School","Chicago","Marketing",65.8,19,4,3071,"Good"
244,37,45670.32,"High School","Phoenix","HR",82.5,27,7,4461.54,"Poor"
245,28,22838.8,"High School","New York","Finance",81.9,9,3,3867.65,"Good"
246,34,16004.32,"Bachelor","Phoenix","Engineering",86,20,2,5673.82,"Fair"
247,26,48186,"High School","Chicago","Finance",81,17,4,4731.9,"Good"
248,34,58494.51,"Bachelor","Phoenix","Marketing",73.7,24,2,4531.34,"Good"
249,79,9444.45,"High School","New York","Marketing",73.6,2,4,2625.53,"Excellent"
250,30,60810.49,"Master","Houston","Sales",103,20,4,8462.1,"Fair"
251,48,63446.13,"Bachelor","Houston","Sales",87.8,19,9,3134.84,"Excellent"
252,79,80894.75,"Master","Phoenix","HR",74.1,9,8,1356.55,"Excellent"
253,77,58294.28,"Bachelor","Los Angeles","Finance",97.5,21,4,3910.14,"Fair"
254,80,59099.08,"Master","Phoenix","Marketing",81.8,26,8,2944.98,"Good"
255,66,67092.07,"Master","Chicago","Engineering",73.5,15,4,7633.83,"Poor"
256,78,54617.18,"Bachelor","Los Angeles","Finance",59.7,27,2,4783.58,"Good"
257,69,53405.71,"Master","New York","HR",80.2,17,9,3390.24,"Excellent"
258,18,57319.69,"Master","Houston","Engineering",82.8,14,9,5572.8,"Good"
259,34,69883.47,"PhD","Los Angeles","Sales",65.4,6,5,5753.12,"Good"
260,50,46374.19,"Master","Phoenix","Sales",60,25,8,7035.79,"Good"
261,45,45009.42,"Bachelor","Chicago","Engineering",55.1,8,2,3823.01,"Fair"
262,19,NA,"High School","Phoenix","Sales",61.9,10,7,2569.35,"Excellent"
263,48,35844.85,"Bachelor","Houston","Engineering",91.1,16,10,6966.4,"Excellent"
264,25,61536,"High School","Phoenix","Sales",82,27,8,5105.43,"Excellent"
265,80,85947.44,"Master","Los Angeles","Finance",61.1,25,10,4360.01,"Good"
266,33,35622.81,"Bachelor","Chicago","Finance",51.3,15,8,5638.67,"Excellent"
267,20,51231.19,"PhD","Houston","Engineering",33.2,12,1,4907.1,"Good"
268,54,34399.98,"PhD","Houston","Engineering",61,21,5,4030.45,"Good"
269,30,73161.73,"Master","Phoenix","Sales",82.2,5,5,3964.01,"Poor"
270,29,48652.36,"High School","Los Angeles","Finance",57.1,10,9,4594.51,"Good"
271,18,58580.08,"Bachelor","New York","Finance",79.6,22,5,4292.67,"Good"
272,47,NA,"High School","Phoenix","HR",101,2,9,5269.24,"Poor"
273,68,33914.42,"Bachelor","Houston","HR",42.6,15,7,7037.15,"Good"
274,77,52905.11,"Master","Phoenix","Finance",73.2,10,10,3139.93,"Fair"
275,48,50433.15,"PhD","New York","Engineering",60.4,16,6,7181.4,"Good"
276,54,68507.11,"High School","Houston","HR",89.4,1,10,5917.62,"Good"
277,64,30335.11,"PhD","Houston","Finance",75.1,27,4,3258.27,"Good"
278,73,31000.77,"Bachelor","Los Angeles","HR",80.3,15,1,4312.82,"Excellent"
279,23,70317.33,"High School","New York","HR",77.6,6,6,7202.73,"Excellent"
280,72,43238.04,"Bachelor","Los Angeles","Finance",78.5,20,10,7759.38,"Good"
281,33,41794.08,"PhD","Phoenix","Finance",79.9,9,8,5571.9,"Fair"
282,27,57260.27,"Bachelor","Phoenix","Sales",60.4,1,8,4624.74,"Good"
283,24,48592.02,"High School","Chicago","Sales",94.2,30,1,1296.55,"Excellent"
284,80,92327.63,"Master","Houston","HR",97.9,18,4,1336.45,"Good"
285,26,60190.63,"Bachelor","Phoenix","Finance",72.7,5,9,6202.05,"Good"
286,58,58231.2,"High School","Houston","HR",72.3,12,8,5542.06,"Good"
287,42,73621.5,"High School","Chicago","Sales",47.4,7,4,6841.17,"Fair"
288,20,NA,"High School","Houston","Engineering",77.5,15,7,8087.22,"Excellent"
289,35,NA,"High School","Los Angeles","Sales",41.2,2,7,7269.59,"Good"
290,70,33542.49,"Bachelor","Chicago","Finance",71.9,21,8,4156.46,"Poor"
291,64,9140.57,"Bachelor","New York","HR",52.7,3,2,6917.95,"Excellent"
292,45,NA,"Master","Los Angeles","Engineering",62.9,1,8,3956.26,"Good"
293,77,57282.19,"High School","Chicago","HR",72.6,12,10,6601.22,"Good"
294,32,34334.06,"Bachelor","Houston","Engineering",82.9,1,7,7878.48,"Good"
295,46,68776.16,"Bachelor","Phoenix","Engineering",96,1,6,5111.02,"Good"
296,74,69501.66,"High School","Houston","Finance",NA,16,3,6673.88,"Fair"
297,37,59347.6,"High School","Phoenix","HR",71.8,30,2,3118.04,"Fair"
298,42,50966.87,"Bachelor","Houston","Engineering",71.5,12,1,5020.02,"Excellent"
299,33,27686.2,"Bachelor","Los Angeles","Marketing",67.6,12,7,3268.71,"Excellent"
300,71,48821.25,"High School","Phoenix","Sales",70.4,8,1,5324.2,"Good"
301,41,45941.94,"High School","Los Angeles","HR",85.7,14,5,3795.73,"Good"
302,50,68264.58,"High School","New York","Sales",101.3,4,1,4299.01,"Excellent"
303,78,81172.59,"Master","Los Angeles","Finance",98.5,18,4,4043.09,"Good"
304,55,65020.81,"High School","Chicago","Marketing",73.3,7,7,4374.91,"Good"
305,60,32434.23,"Bachelor","New York","Engineering",83.8,14,9,3443.3,"Good"
306,58,88419.95,"High School","Los Angeles","HR",66.2,11,3,3680.94,"Poor"
307,39,75207.06,"High School","Phoenix","Marketing",52.4,16,9,4485.14,"Excellent"
308,43,59470.42,"Master","Phoenix","HR",82.8,6,8,7334.75,"Good"
309,71,10870.31,"PhD","Phoenix","Finance",80.5,23,3,7532.84,"Excellent"
310,71,35908.29,"High School","Los Angeles","Sales",99,11,3,4940.11,"Fair"
311,37,53628.54,"PhD","Chicago","Finance",72.4,14,7,6252.45,"Good"
312,72,70226.12,"High School","Chicago","Engineering",49.3,29,9,7287.36,"Good"
313,71,31401.92,"PhD","New York","Sales",79.3,1,10,3500.9,"Good"
314,80,119223.98,"PhD","New York","Marketing",52.3,15,4,4464.74,"Good"
315,75,3923.5,"High School","Houston","Finance",58.2,30,4,5922.1,"Good"
316,62,50281.32,"Master","Houston","Marketing",68.1,4,1,6279.13,"Excellent"
317,54,49808.75,"Bachelor","Phoenix","Finance",NA,18,1,4522.37,"Good"
318,60,41732.66,"PhD","Phoenix","Engineering",54.3,5,6,5531.9,"Good"
319,32,48620.19,"Master","New York","Engineering",90.7,21,9,5163.86,"Good"
320,38,69847.9,"Master","New York","Marketing",79.6,11,10,4064.62,"Fair"
321,51,37514.15,"High School","Phoenix","Marketing",61.2,10,1,579.96,"Good"
322,42,13343.72,"Bachelor","New York","Marketing",62.3,3,7,6271.93,"Poor"
323,55,56875.36,"PhD","Phoenix","Finance",56.6,20,5,6378.7,"Excellent"
324,18,54963.6,"High School","New York","Finance",80.3,28,4,6686.28,"Good"
325,31,54737.99,"Bachelor","Phoenix","Finance",88.2,7,10,4558.14,"Excellent"
326,65,68359.36,"Bachelor","Los Angeles","Sales",NA,30,8,8464.24,"Fair"
327,66,54736.65,"High School","New York","Marketing",90.3,23,1,6690.39,"Good"
328,28,70520.94,"High School","Chicago","Engineering",70.2,15,2,7487.52,"Fair"
329,45,14785.29,"PhD","Houston","HR",78.9,23,4,5111.72,"Excellent"
330,35,32436.39,"High School","Houston","Engineering",91.7,2,7,-880.28,"Good"
331,72,61975.99,"Bachelor","Phoenix","Sales",63.4,5,4,7005.06,"Good"
332,51,47942.03,"Master","Houston","Engineering",76.7,22,8,3628.85,"Good"
