"ID","Age","Income","Education","City","Department","Score","Years_Experience","Satisfaction","Performance_Rating"
301,41,51864.19,"High School","New York","Sales",92.9,18,10,"Good"
302,50,72555.68,"High School","New York","Finance",84.3,12,6,"Fair"
303,78,70003.33,"Bachelor","Houston","HR",72.4,15,5,"Excellent"
304,55,61021.07,"Bachelor","Phoenix","Engineering",87.9,20,9,"Excellent"
305,60,84856.22,"PhD","Chicago","Marketing",65.7,7,8,"Excellent"
306,58,24490.12,"High School","Houston","Engineering",61.8,18,9,"Fair"
307,39,73214.35,"Bachelor","New York","HR",41.6,14,2,"Good"
308,43,23409.36,"Bachelor","Chicago","Finance",77.9,6,2,"Good"
309,71,66754.33,"High School","Chicago","HR",40.3,29,5,"Good"
310,71,56792.85,"High School","Los Angeles","Marketing",74.6,15,2,"Excellent"
311,37,74345.23,"High School","Chicago","Marketing",81.6,11,6,"Fair"
312,72,56576.25,"High School","New York","Engineering",86.8,8,1,"Good"
313,71,23626,"High School","Phoenix","Engineering",90.3,30,2,"Good"
314,80,14843.54,"Bachelor","Chicago","Finance",84.2,11,1,"Good"
315,75,65819.47,"Bachelor","New York","Engineering",62.1,17,3,"Good"
316,62,53532.47,"Master","Chicago","Engineering",88.4,14,9,"Excellent"
317,54,43579.63,"High School","Phoenix","Sales",75.9,25,8,"Good"
318,60,48778.63,"Master","Phoenix","Marketing",47,4,10,"Excellent"
319,32,41571.7,"High School","Chicago","Engineering",73.3,19,4,"Fair"
320,38,51853.19,"Bachelor","Houston","Marketing",48.2,9,6,"Good"
321,51,36373.9,"Master","New York","HR",59.2,29,10,"Good"
322,42,15339.81,"Bachelor","New York","Sales",65.7,2,2,"Excellent"
323,55,50608,"High School","Phoenix","Engineering",66.2,12,4,"Good"
324,18,75905.52,"Bachelor","Chicago","HR",88.9,24,2,"Good"
325,31,92546.59,"Master","New York","HR",74,17,2,"Good"
326,65,55052.12,"Master","Chicago","HR",60.9,20,4,"Good"
327,66,53386.6,"Bachelor","Los Angeles","Sales",65.5,15,5,"Good"
328,28,74259.65,"Master","Phoenix","Engineering",66.4,24,3,"Good"
329,45,56071.42,"High School","Houston","Marketing",77.8,11,10,"Good"
330,35,46302.03,"Bachelor","Phoenix","Marketing",83.1,1,9,"Good"
331,72,20254.05,"High School","New York","HR",68.7,15,6,"Fair"
332,51,29726.09,"High School","Los Angeles","Finance",69.9,11,1,"Fair"
333,75,63126.17,"High School","Chicago","Sales",82.8,30,1,"Good"
334,59,25806.92,"High School","New York","Sales",62,1,10,"Fair"
335,53,75969.15,"Bachelor","Los Angeles","HR",72.6,27,8,"Fair"
336,37,28071.39,"PhD","Chicago","Sales",72.9,4,5,"Good"
337,32,51128.59,"PhD","Houston","Sales",63.5,5,9,"Excellent"
338,78,54953.28,"High School","Chicago","HR",65.1,14,9,"Good"
339,24,54743.41,"Bachelor","Los Angeles","Sales",70.4,25,2,"Good"
340,66,58038.95,"PhD","Chicago","Finance",61.8,21,2,"Fair"
341,44,NA,"Bachelor","Chicago","Marketing",73.6,11,4,"Poor"
342,47,52475.75,"High School","Chicago","Finance",55.9,2,9,"Good"
343,22,50029.29,"High School","Houston","Marketing",80.6,29,4,"Excellent"
344,39,58206.55,"Master","Chicago","HR",68,8,7,"Good"
345,37,46327.16,"Master","New York","Sales",87,11,6,"Poor"
346,67,85748.25,"Master","New York","HR",81.4,20,9,"Poor"
347,75,11595.07,"Master","Houston","Finance",67.3,26,6,"Fair"
348,58,75540.09,"High School","Los Angeles","Marketing",69.8,11,9,"Good"
349,28,50030.34,"Bachelor","Los Angeles","HR",84.1,25,5,"Poor"
350,45,63446.41,"PhD","New York","Finance",86,8,7,"Excellent"
351,55,74753.07,"High School","Chicago","Marketing",82.2,8,6,"Excellent"
352,59,71711.36,"Master","Phoenix","Sales",79.9,22,7,"Excellent"
353,26,41789.56,"Bachelor","Chicago","Finance",48.3,25,4,"Fair"
354,80,86281.39,"Master","New York","Finance",76.8,21,3,"Poor"
355,40,22540.48,"Master","Houston","Finance",53.7,1,5,"Good"
356,43,72277.93,"High School","New York","Engineering",76.1,20,1,"Good"
357,68,NA,"High School","Chicago","Marketing",65.1,11,7,"Good"
358,58,16652.7,"PhD","Phoenix","Engineering",73.4,26,2,"Excellent"
359,28,17683.72,"Master","Chicago","Marketing",57.3,1,9,"Excellent"
360,36,59903.58,"High School","Phoenix","HR",72.5,17,6,"Fair"
361,45,99470.69,"Master","New York","Finance",97.8,22,8,"Fair"
362,38,60467.52,"Master","New York","Sales",102.4,15,7,"Good"
363,53,77615.7,"Bachelor","Chicago","HR",37.7,13,4,"Poor"
364,59,71773.39,"Master","Los Angeles","Sales",50.2,10,2,"Excellent"
365,39,41907.69,"High School","Houston","Sales",53.7,22,3,"Excellent"
366,42,74079.22,"Master","Houston","HR",55.9,25,7,"Fair"
367,71,62059.03,"Bachelor","Chicago","Finance",106.2,4,3,"Good"
368,76,59131.99,"High School","New York","Finance",90.2,1,5,"Good"
369,66,75022.26,"High School","Chicago","HR",73.4,18,7,"Good"
370,47,69949.04,"High School","New York","HR",89.7,27,1,"Good"
371,76,42468.5,"Master","Chicago","Marketing",108.9,4,4,"Excellent"
372,38,NA,"Bachelor","Chicago","Engineering",84.6,7,10,"Good"
373,61,37156.64,"Bachelor","Phoenix","Marketing",101.6,2,8,"Fair"
374,38,67616.37,"Bachelor","Houston","Marketing",57.8,27,8,"Fair"
375,23,46345.9,"Bachelor","Phoenix","Sales",58.8,20,5,"Good"
376,64,64042.77,"Bachelor","New York","HR",91,16,10,"Good"
377,58,62359.98,"Bachelor","Chicago","Sales",88.4,21,2,"Good"
378,27,49592.25,"Master","Chicago","Marketing",88.1,25,10,"Good"
